strain	date	url	mutational_fitness	epiweek	recency	pango_lineage	country	region	division	emerging_lineage	host	genbank_accession	S1_mutations	clade_membership	current_frequency	author	accession	submitting_lab	originating_lab	logistic_growth
USA/hCoV_19_USA_ID_IVREF_648369_2020/2020	8/26/20		0.04	202035	Older	B.1	USA	North America	Idaho		Homo sapiens	OL467786	1	20A		Beukelman et al C				
USA/TG989716/2020	9/3/20		0.05	202036	Older	B.1.240	USA	North America	Arizona		Homo sapiens	OK467157	1	20A		Bowers et al H		The Translational Genomics Research Institute COVID submission group	Sonora Quest Laboratories - Phoenix	
USA/SD-SDPHL-0400/2020	9/14/20		0.04	202038	Older	B.1.240	USA	North America	South Dakota		Homo sapiens	MZ444225	2	20A		Carlson et al D		South Dakota Department of Health	South Dakota Public Health Laboratory	
USA/AK-PHL2587/2020	8/1/20		0.04	202031	Older	B.1.240	USA	North America	Alaska		Homo sapiens	MZ246451	1	20A		DeRonde et al J				
USA/MD-MDH-0394/2020	11/2/20		0.04	202045	Older	B.1.240	USA	North America	Maryland		Homo sapiens	MW292653	1	20A		Keller et al E				
USA/SC-COV21-0008/2020	12/2/20		0.04	202049	Older	B.1.240	USA	North America	South Carolina		Homo sapiens	MW483840	2	20A		Flores et al E				
USA/KS-QDX-3372/2020	9/30/20		0.04	202040	Older	B.1.240	USA	North America	Kansas		Homo sapiens	MW522417	1	20A		Rosenthal et al Z				
USA/TX-DSHS-1009/2020	3/27/20		0.03	202013	Older	B.1	USA	North America	Texas		Homo sapiens	MW269912	1	20A		Pedrueza et al		Texas Department of State Health Services-SARS-CoV-2 submission group	Texas Department of State Health Services	
USA/ND-NDDH-0016/2020	4/25/20		0.03	202017	Older	B.1.382	USA	North America	North Dakota		Homo sapiens	MW471394	1	20A		Wingerter et al C				
USA/995886/2020	5/5/20		0.03	202019	Older	B.1	USA	North America	Iowa		Homo sapiens	ON186434	1	20A		Reeb et al G		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa	
USA/UT-UPHL-201103306/2020	5/13/20		0.03	202020	Older	B.1	USA	North America	Utah		Homo sapiens	MW241330	1	20A		Young et al E		Utah Public Health Laboratory Infectious Disease submission group	Utah Public Health Laboratory	
USA/WI-UW-1188/2020	8/6/20		0.03	202032	Older	B.1.1.464	USA	North America	Wisconsin		Homo sapiens	MT981472	1	20A		Moreno et al P				
USA/ND-CDC-IBX527701244552/2021	8/10/21		0.67	202132	Older	B.1.617.2	USA	North America	North Dakota		Homo sapiens	MZ896333	7	21A (Delta)		Howard et al FE				
USA/FL-CDC-ASC210344682/2021	10/11/21		0.73	202141	Older	AY.54	USA	North America	Florida		Homo sapiens	OL432778	7	21A (Delta)		Howard et al FF				
USA/CT-CDC-QDX26177992/2021	6/23/21		0.74	202125	Older	AY.14	USA	North America	Connecticut		Homo sapiens	MZ535106	8	21A (Delta)		Howard et al FG				
USA/VT-CDCBI-CRSP_X3AOEJMOR5FFQEY2/2021	8/2/21		0.74	202131	Older	AY.14	USA	North America	Vermont		Homo sapiens	MZ753455	8	21A (Delta)		Lemieux et al L		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/HI-CDC-STM-000715426/2021	8/2/21		0.72	202131	Older	AY.13	USA	North America	Hawaii		Homo sapiens	OL523445	8	21A (Delta)		Howard et al FH		CDC-OAMD	'Helix'	
USA/NM-CDC-LC0268730/2021	8/26/21		0.75	202134	Older	AY.67	USA	North America	New Mexico		Homo sapiens	OK307736	10	21I (Delta)		Howard et al FI				
USA/MD-CDC-MMB11661202/2021	11/16/21		0.79	202146	Older	AY.26	USA	North America	Maryland		Homo sapiens	OL884983	10	21I (Delta)		Howard et al FJ		CDC-OAMD	Mako Medical	
USA/CT-CDC-QDX25392420/2021	5/28/21		0.78	202121	Older	AY.26	USA	North America	Connecticut		Homo sapiens	MZ363242	9	21I (Delta)		Howard et al FK				
USA/VI-CDC-STM-000714738/2021	7/31/21		0.77	202130	Older	AY.26	USA	North America	Virgin Islands		Homo sapiens	OL526071	9	21I (Delta)		Howard et al FL		CDC-OAMD	'Helix'	
USA/FL-CDC-ASC210283738/2021	9/17/21		0.79	202137	Older	AY.26	USA	North America	Florida		Homo sapiens	OK621173	8	21I (Delta)		Howard et al FM				
USA/MI-CDC-QDX27432112/2021	8/1/21		0.78	202131	Older	AY.26	USA	North America	Michigan		Homo sapiens	OK056179	10	21I (Delta)		Howard et al FN				
USA/WI-QDX-26380647/2021	6/30/21		0.76	202126	Older	AY.37	USA	North America	Wisconsin		Homo sapiens	MZ590729	10	21I (Delta)		Howard et al FO		CDC-OAMD	Quest Diagnostics Incorporated	
USA/OK-CDC-ASC210409909/2021	9/13/21		0.79	202137	Older	AY.47	USA	North America	Oklahoma		Homo sapiens	OK497343	10	21I (Delta)		Howard et al FP				
USA/NY-CDC-LC0290250/2021	9/19/21		0.78	202138	Older	AY.47	USA	North America	New York		Homo sapiens	OK455415	10	21I (Delta)		Howard et al FQ				
USA/AZ-CDC-QDX26256099/2021	6/27/21		0.76	202126	Older	AY.75	USA	North America	Arizona		Homo sapiens	MZ535963	9	21I (Delta)		Howard et al FR				
USA/SC-COVID21-5512/2021	10/5/21		0.86	202140	Older	AY.110	USA	North America	South Carolina		Homo sapiens	OL693811	8	21J (Delta)		Freeman et al				
USA/VI-CDC-STM-000739061/2021	10/3/21		0.82	202140	Older	AY.20	USA	North America	Virgin Islands		Homo sapiens	OK591916	10	21J (Delta)		Howard et al FS				
USA/SC-CDC-ASC210472560/2021	10/19/21		0.85	202142	Older	AY.20	USA	North America	South Carolina		Homo sapiens	OL465880	9	21J (Delta)		Howard et al FT				
USA/NV-CDC-ASC210513124/2021	11/24/21		0.85	202147	Older	AY.46.4	USA	North America	Nevada		Homo sapiens	OL940201	10	21J (Delta)		Howard et al FU		CDC-OAMD	Aegis Sciences Corporation	
USA/VT-CDCBI-CRSP_FD2ENPXJABDEIJI3/2021	10/6/21		0.82	202140	Older	AY.98.1	USA	North America	Vermont		Homo sapiens	OK537216	9	21J (Delta)		Lemieux et al M		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/IN-CDC-STM-AVWQWU6WJ/2021	11/29/21		0.84	202148	Older	AY.34.1	USA	North America	Indiana		Homo sapiens	OL806185	10	21J (Delta)		Howard et al FV		CDC-OAMD	'Helix'	
USA/FL-CDC-STM-000705263/2021	6/30/21		0.86	202126	Older	AY.114	USA	North America	Florida		Homo sapiens	OL523073	9	21J (Delta)		Howard et al FW		CDC-OAMD	'Helix'	
USA/MI-CDC-QDX27249257/2021	7/26/21		0.8	202130	Older	AY.44	USA	North America	Michigan		Homo sapiens	MZ797422	8	21J (Delta)		Howard et al FX		CDC-OAMD	Quest Diagnostics Incorporated	
USA/AR-CDC-LC0073286/2021	6/6/21		0.8	202123	Older	AY.44	USA	North America	Arkansas		Homo sapiens	OK234581	9	21J (Delta)		Howard et al FY				
USA/IN-CDC-LC0159441/2021	7/28/21		0.79	202130	Older	AY.44	USA	North America	Indiana		Homo sapiens	MZ887862	8	21J (Delta)		Howard et al FZ				
USA/PA-M21085894/2021	8/25/21		0.83	202134	Older	AY.44	USA	North America	Pennsylvania		Homo sapiens	OK337406	8	21J (Delta)		Xia et al B		PA Department of Health Bureau of Laboratories Submission Group	Pennsylvania Department of Health Bureau of Laboratories	
USA/WI-CDC-ASC210472387/2021	10/18/21		0.84	202142	Older	AY.44	USA	North America	Wisconsin		Homo sapiens	OL464943	10	21J (Delta)		Howard et al GA				
USA/NE-CDC-LC0419894/2021	11/29/21		0.81	202148	Older	AY.44	USA	North America	Nebraska		Homo sapiens	OL990833	8	21J (Delta)		Howard et al GB		CDC-OAMD	Laboratory Corporation of America	
USA/OSPHL01797/2021	7/28/21		0.85	202130	Older	AY.44	USA	North America	Oregon		Homo sapiens	MZ827611	8	21J (Delta)		Razzaque et al D				
USA/SD-SDPHL-0363/2021	6/30/21		0.8	202126	Older	AY.44	USA	North America	South Dakota		Homo sapiens	MZ611523	8	21J (Delta)		Carlson et al E		South Dakota Department of Health	South Dakota Public Health Laboratory	
USA/CA-SEARCH-46576/2021	8/3/21		0.8	202131	Older	AY.44	USA	North America	California		Homo sapiens	OK551093	8	21J (Delta)		Andersen et al K		SEARCH Alliance San Diego	"David Pride, Sharon Reed, Chip Schooley, Angela Scioscia, Natasha Martin Cheryl Anderson, Sawyer Farmer, Abigail Schnapper, Helena Tubb, Tommy Valles with SEARCH Alliance San Diego with the help of EXCITE Lab"	
USA/AZ-5195/2021	8/30/21		0.85	202135	Older	AY.44	USA	North America	Arizona		Homo sapiens	OK171092	7	21J (Delta)		Hyunh et al				
USA/UT-CDC-ASC210394879/2021	11/10/21		0.84	202145	Older	AY.44	USA	North America	Utah		Homo sapiens	OL786026	8	21J (Delta)		Howard et al GC		CDC-OAMD	Aegis Sciences Corporation	
USA/VT-CDCBI-CRSP_TGRDKRP3BEOFV5Y5/2021	7/29/21		0.86	202130	Older	AY.44	USA	North America	Vermont		Homo sapiens	MZ720713	9	21J (Delta)		Lemieux et al N		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/NY-CDCBI-CRSP_SFQRLVLENSPFPYZQ/2021	11/30/21		0.83	202148	Older	AY.44	USA	North America	New York		Homo sapiens	OL822908	8	21J (Delta)		Lemieux et al O		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/ID-CDC-IBX369542694208/2021	8/31/21		0.83	202135	Older	AY.44	USA	North America	Idaho		Homo sapiens	OK398787	7	21J (Delta)		Howard et al GD				
USA/CT-CDC-LC0362092/2021	10/26/21		0.86	202143	Older	AY.44	USA	North America	Connecticut		Homo sapiens	OL492008	8	21J (Delta)		Howard et al GE		CDC-OAMD	Laboratory Corporation of America	
USA/OR-CDC-UW21080349881/2021	8/3/21		0.81	202131	Older	AY.44	USA	North America	Oregon		Homo sapiens	MZ952379	7	21J (Delta)		Howard et al GF				
USA/HI-CDC-QDX30129496/2021	10/13/21		0.79	202141	Older	AY.44	USA	North America	Hawaii		Homo sapiens	OL349836	9	21J (Delta)		Howard et al GG				
USA/SD-CDC-2-5421732/2021	12/27/21		0.8	202152	Older	AY.44	USA	North America	South Dakota		Homo sapiens	OM461004	8	21J (Delta)		Sheth et al Y		CDC DVD Genomics and DIscovery Team	SD Public Health Laboratory	
USA/TX-CDC-LC0200265/2021	8/2/21		0.73	202131	Older	AY.3	USA	North America	Texas		Homo sapiens	OK102035	8	21J (Delta)		Howard et al GH				
USA/OK-CDC-ASC210327803/2021	9/17/21		0.71	202137	Older	AY.3	USA	North America	Oklahoma		Homo sapiens	OK564926	8	21J (Delta)		Howard et al GI				
USA/DE-CDC-IBX849839111832/2021	9/18/21		0.82	202137	Older	AY.3	USA	North America	Delaware		Homo sapiens	OK361130	7	21J (Delta)		Howard et al GJ				
USA/OK-CDC-ASC210409505/2021	9/13/21		0.81	202137	Older	AY.3	USA	North America	Oklahoma		Homo sapiens	OK496871	8	21J (Delta)		Howard et al GK				
USA/GU-CDC-2-5203647/2021	10/12/21		0.85	202141	Older	AY.3	USA	North America	Guam		Homo sapiens	OL743611	9	21J (Delta)		Sheth et al Z		CDC DVD Genomics and DIscovery Team	Guam Public Health Laboratory	
USA/RI-CDCBI-RIDOH_BVX7VNNCUGL26YOF/2021	7/31/21		0.82	202130	Older	AY.3	USA	North America	Rhode Island		Homo sapiens	MZ776319	8	21J (Delta)		Lemieux et al P		Broad Institute Genomic Center for Infectious Diseases	Rhode Island Department of Health	
USA/VT-CDCBI-CRSP_5FPDQ3MSFEWTXJUT/2021	9/19/21		0.82	202138	Older	AY.3	USA	North America	Vermont		Homo sapiens	OK337355	8	21J (Delta)		Lemieux et al Q		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/MS-CDC-LC0082459/2021	6/28/21		0.82	202126	Older	AY.3	USA	North America	Mississippi		Homo sapiens	MZ554274	8	21J (Delta)		Howard et al GL		CDC-OAMD	Laboratory Corporation of America	
USA/OKPHLCOV0008183/2021	8/10/21		0.83	202132	Older	AY.3	USA	North America	Oklahoma		Homo sapiens	OM285278	7	21J (Delta)		Grimaldo et al A				
USA/PR-CDC-ASC210236117/2021	7/29/21		0.83	202130	Older	AY.3	USA	North America	Puerto Rico		Homo sapiens	OK026485	8	21J (Delta)		Howard et al GM				
USA/CA-CDC-LC0337618/2021	10/13/21		0.79	202141	Older	AY.3	USA	North America	California		Homo sapiens	OL327508	8	21J (Delta)		Howard et al GN				
USA/KS-CDC-LC0333441/2021	10/7/21		0.85	202140	Older	AY.3	USA	North America	Kansas		Homo sapiens	OL324874	9	21J (Delta)		Howard et al GO				
USA/KY-CDC-ASC210557994/2021	12/28/21		0.82	202152	Older	AY.3	USA	North America	Kentucky		Homo sapiens	OM308871	8	21J (Delta)		Howard et al GP		CDC-OAMD	Aegis Sciences Corporation	
USA/MI-CDC-STM-000724120/2021	8/20/21		0.83	202133	Older	AY.3	USA	North America	Michigan		Homo sapiens	OL529751	8	21J (Delta)		Howard et al GQ				
USA/WY-CDC-ASC210451896/2021	11/8/21		0.81	202145	Older	AY.3	USA	North America	Wyoming		Homo sapiens	OL652016	9	21J (Delta)		Howard et al GR		CDC-OAMD	Aegis Sciences Corporation	
USA/MI-MDHHS-SC31810/2021	7/29/21		0.81	202130	Older	AY.3	USA	North America	Michigan		Homo sapiens	OL983310	8	21J (Delta)		Blankenship et al F				
USA/SRL_329992787/2021	6/30/21		0.81	202126	Older	AY.3.1	USA	North America	Mississippi		Homo sapiens	MZ746684	7	21J (Delta)		Moller et al A				
USA/MD-CDC-ASC210424101/2021	11/16/21		0.85	202146	Older	AY.4	USA	North America	Maryland		Homo sapiens	OL749193	8	21J (Delta)		Howard et al GS				
USA/MO-CDC-ASC210490306/2021	10/22/21		0.83	202142	Older	AY.3	USA	North America	Missouri		Homo sapiens	OL479289	8	21J (Delta)		Howard et al GT				
USA/NC-CDC-LC0403478/2021	11/16/21		0.75	202146	Older	AY.3	USA	North America	North Carolina		Homo sapiens	OL832663	7	21J (Delta)		Howard et al GU				
USA/KS-CDC-ASC210424932/2021	11/18/21		0.81	202146	Older	AY.3	USA	North America	Kansas		Homo sapiens	OL887634	8	21J (Delta)		Howard et al GV		CDC-OAMD	Aegis Sciences Corporation	
USA/TN-SPHL-0256/2021	7/21/21		0.82	202129	Older	AY.3	USA	North America	Tennessee		Homo sapiens	OK480615	8	21J (Delta)		Selinsky et al B		FDA CVM NARMS - Tennesse DOH	Tennessee Department of Health Laboratory Services	
USA/MA-CDC-ASC210399446/2021	11/12/21		0.81	202145	Older	AY.3	USA	North America	Massachusetts		Homo sapiens	OL733599	8	21J (Delta)		Howard et al GW				
USA/MS-CDC-LC0138164/2021	7/26/21		0.83	202130	Older	AY.3	USA	North America	Mississippi		Homo sapiens	MZ857492	8	21J (Delta)		Howard et al GX				
USA/TX-CDC-ASC210287325/2021	9/17/21		0.83	202137	Older	AY.25	USA	North America	Texas		Homo sapiens	OK564852	8	21J (Delta)		Howard et al GY				
USA/CO-CDC-ASC210109984/2021	6/17/21		0.82	202124	Older	AY.25	USA	North America	Colorado		Homo sapiens	MZ565819	8	21J (Delta)		Howard et al GZ				
USA/OK-CDC-ASC210108565/2021	6/9/21		0.81	202123	Older	AY.25	USA	North America	Oklahoma		Homo sapiens	MZ450629	8	21J (Delta)		Howard et al HA				
USA/WY-CDC-LC0109185/2021	6/22/21		0.81	202125	Older	AY.25	USA	North America	Wyoming		Homo sapiens	MZ785624	10	21J (Delta)		Howard et al HB		CDC-OAMD	Laboratory Corporation of America	
USA/ME-CDC-QDX29260395/2021	9/25/21		0.86	202138	Older	AY.25	USA	North America	Maine		Homo sapiens	OK542457	10	21J (Delta)		Howard et al HC				
USA/WY-CDC-IBX386816537218/2021	7/1/21		0.81	202126	Older	AY.25	USA	North America	Wyoming		Homo sapiens	MZ593862	8	21J (Delta)		Howard et al HD		CDC-OAMD	Infinity Biologix	
USA/GA-CDC-QDX29079858/2021	9/24/21		0.81	202138	Older	AY.25	USA	North America	Georgia		Homo sapiens	OK447409	9	21J (Delta)		Howard et al HE				
USA/V02142/2021	11/16/21		0.85	202146	Older	AY.25	USA	North America	Arkansas		Homo sapiens	OM676492	9	21J (Delta)		Kandel et al		University of Arkansas Medical Sciences/Arkansas Children's Hospital	Arkansas Children's Hospital	
USA/MS-CDC-ASC210161572/2021	7/20/21		0.82	202129	Older	AY.25	USA	North America	Mississippi		Homo sapiens	MZ968105	8	21J (Delta)		Howard et al HF				
USA/ME-CDC-QDX30567855/2021	10/28/21		0.82	202143	Older	AY.25	USA	North America	Maine		Homo sapiens	OL504097	9	21J (Delta)		Howard et al HG		CDC-OAMD	Quest Diagnostics Incorporated	
USA/DC-CDC-LC0359679/2021	10/28/21		0.82	202143	Older	AY.25	USA	North America	Washington DC		Homo sapiens	OL488656	8	21J (Delta)		Howard et al HH				
USA/MA-CDCBI-CRSP_G7GSTCYFEJ7YZ6ST/2021	9/7/21		0.81	202136	Older	AY.25	USA	North America	Massachusetts		Homo sapiens	OK176761	8	21J (Delta)		Lemieux et al R		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/LA-CDC-2-5063496/2021	10/4/21		0.84	202140	Older	AY.25	USA	North America	Louisiana		Homo sapiens	OL607291	8	21J (Delta)		Sheth et al AA		CDC DVD Genomics and DIscovery Team	LA Office of Public Health Laboratories	
USA/VA-CDC-LC0245687/2021	8/31/21		0.86	202135	Older	AY.25	USA	North America	Virginia		Homo sapiens	OK199634	8	21J (Delta)		Howard et al HI				
USA/TN-CDC-ASC210493318/2021	10/24/21		0.83	202143	Older	AY.25	USA	North America	Tennessee		Homo sapiens	OL483896	7	21J (Delta)		Howard et al HJ		CDC-OAMD	Aegis Sciences Corporation	
USA/LA-CDC-2-5064284/2021	10/13/21		0.83	202141	Older	AY.25	USA	North America	Louisiana		Homo sapiens	OL607462	9	21J (Delta)		Sheth et al AB		CDC DVD Genomics and DIscovery Team	LA Office of Public Health Laboratories	
USA/NE-CDC-LC0223672/2021	8/17/21		0.84	202133	Older	AY.25	USA	North America	Nebraska		Homo sapiens	OK155917	8	21J (Delta)		Howard et al HK				
USA/V02091/2021	10/31/21		0.84	202144	Older	AY.25	USA	North America	Arkansas		Homo sapiens	OM779945	8	21J (Delta)		Boyanton et al B		University of Arkansas Medical Sciences/Arkansas Children's Hospital	Arkansas Children's Hospital	
USA/GU-CDC-2-5097549/2021	9/14/21		0.84	202137	Older	AY.25	USA	North America	Guam		Homo sapiens	OL520395	8	21J (Delta)		Sheth et al AC		CDC DVD Genomics and DIscovery Team	Guam Public Health Laboratory	
USA/GU-CDC-2-5097601/2021	9/6/21		0.86	202136	Older	AY.25	USA	North America	Guam		Homo sapiens	OL520356	8	21J (Delta)		Sheth et al AD		CDC DVD Genomics and DIscovery Team	Guam Public Health Laboratory	
USA/GU-CDC-STM-000735350/2021	9/22/21		0.84	202138	Older	AY.25	USA	North America	Guam		Homo sapiens	OK529663	8	21J (Delta)		Howard et al HL				
USA/GU-CDC-2-5203645/2021	10/13/21		0.84	202141	Older	AY.25	USA	North America	Guam		Homo sapiens	OL743625	8	21J (Delta)		Sheth et al AE		CDC DVD Genomics and DIscovery Team	Guam Public Health Laboratory	
USA/PA-CDC-ASC210633693/2021	12/17/21		0.79	202150	Older	AY.25.1	USA	North America	Pennsylvania		Homo sapiens	OM077339	8	21J (Delta)		Howard et al HM		CDC-OAMD	Aegis Sciences Corporation	
USA/FL-CDC-ASC210279093/2021	9/15/21		0.82	202137	Older	AY.25.1	USA	North America	Florida		Homo sapiens	OK599410	7	21J (Delta)		Howard et al HN				
USA/MA-CDCBI-CRSP_LAFBPESKIOW2TNPJ/2021	12/8/21		0.82	202149	Older	AY.25.1	USA	North America	Massachusetts		Homo sapiens	OL910604	8	21J (Delta)		Lemieux et al S		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/RI-CDC-LC0402830/2021	11/23/21		0.82	202147	Older	AY.25.1	USA	North America	Rhode Island		Homo sapiens	OL836403	8	21J (Delta)		Howard et al HO		CDC-OAMD	Laboratory Corporation of America	
USA/2107270249/2021	7/27/21		0.82	202130	Older	AY.25.1	USA	North America	New Hampshire		Homo sapiens	MZ801085	8	21J (Delta)		Benton et al B				
USA/RI-CDC-LC0448312/2021	12/26/21		0.93	202152	Older	AY.25.1	USA	North America	Rhode Island		Homo sapiens	OM224912	8	21J (Delta)		Howard et al HP		CDC-OAMD	Laboratory Corporation of America	
USA/DE-CDC-LC0388387/2021	11/17/21		0.84	202146	Older	AY.25.1	USA	North America	Delaware		Homo sapiens	OL738058	8	21J (Delta)		Howard et al HQ				
USA/IN-CDC-STM-6GH53MC22/2021	12/3/21		0.87	202148	Older	AY.113	USA	North America	Indiana		Homo sapiens	OL865005	9	21J (Delta)		Howard et al HR		CDC-OAMD	'Helix'	
USA/NY-CDC-FG-202823/2021	12/8/21		0.88	202149	Older	AY.113	USA	North America	New York		Homo sapiens	OM057031	9	21J (Delta)		Howard et al HS		CDC-OAMD	Fulgent Genetics	
USA/KS-CDC-LC0316582/2021	9/24/21		0.85	202138	Older	AY.100	USA	North America	Kansas		Homo sapiens	OK519192	9	21J (Delta)		Howard et al HT				
USA/MD-CDC-MMB10637618/2021	9/23/21		0.82	202138	Older	AY.100	USA	North America	Maryland		Homo sapiens	OK619165	8	21J (Delta)		Howard et al HU				
USA/KY-CDC-LC0194115/2021	8/18/21		0.88	202133	Older	AY.100	USA	North America	Kentucky		Homo sapiens	OK097265	9	21J (Delta)		Howard et al HV				
USA/SRL_330827138/2021	9/13/21		0.87	202137	Older	AY.100	USA	North America	Mississippi		Homo sapiens	OK510425	9	21J (Delta)		Moller et al B				
USA/CA-CDC-ASC210494759/2021	10/24/21		0.87	202143	Older	AY.100	USA	North America	California		Homo sapiens	OL484182	9	21J (Delta)		Howard et al HW				
USA/IA-CDC-LC0422425/2021	12/1/21		0.91	202148	Older	AY.100	USA	North America	Iowa		Homo sapiens	OL991178	10	21J (Delta)		Howard et al HX		CDC-OAMD	Laboratory Corporation of America	
USA/DC-CDC-LC0406299/2021	11/30/21		0.9	202148	Older	AY.4	USA	North America	Washington DC		Homo sapiens	OL917835	10	21J (Delta)		Howard et al HY		CDC-OAMD	Laboratory Corporation of America	
USA/AS-CDC-2-5343436/2021	11/4/21		0.83	202144	Older	AY.103	USA	North America	American Samoa		Homo sapiens	OM258737	10	21J (Delta)		Sheth et al AF		CDC DVD Genomics and DIscovery Team	Tafuna Health Center	
USA/ND-CDC-2-4653761/2021	7/13/21		0.84	202128	Older	AY.103	USA	North America	North Dakota		Homo sapiens	MZ727708	8	21J (Delta)		Sheth et al AG				
USA/AR-UMGC-20059/2021	10/8/21		0.83	202140	Older	AY.103	USA	North America	Arkansas		Homo sapiens	OL515419	8	21J (Delta)		Gohl et al				
USA/ND-CDC-IBX525502783002/2021	12/5/21		0.82	202149	Older	AY.103	USA	North America	North Dakota		Homo sapiens	OL997749	8	21J (Delta)		Howard et al HZ		CDC-OAMD	Infinity Biologix	
USA/SC-CDC-QDX25988553/2021	6/18/21		0.85	202124	Older	AY.103	USA	North America	South Carolina		Homo sapiens	OK251439	8	21J (Delta)		Howard et al IA				
USA/DE-CDC-LC0154331/2021	7/29/21		0.84	202130	Older	AY.103	USA	North America	Delaware		Homo sapiens	MZ864469	8	21J (Delta)		Howard et al IB				
USA/NC-CDC-LC0297316/2021	9/15/21		0.89	202137	Older	AY.103	USA	North America	North Carolina		Homo sapiens	OK453219	8	21J (Delta)		Howard et al IC				
USA/AS-CDC-2-5343430/2021	9/16/21		0.83	202137	Older	AY.103	USA	North America	American Samoa		Homo sapiens	OM258734	8	21J (Delta)		Sheth et al AH		CDC DVD Genomics and DIscovery Team	Tafuna Health Center	
USA/IL-CDC-QDX26826454/2021	7/12/21		0.84	202128	Older	AY.103	USA	North America	Illinois		Homo sapiens	OK110370	8	21J (Delta)		Howard et al ID				
USA/MO-CDC-MMB09695613/2021	8/11/21		0.83	202132	Older	AY.103	USA	North America	Missouri		Homo sapiens	OK137996	8	21J (Delta)		Howard et al IE				
USA/SRL_330438938/2021	8/23/21		0.8	202134	Older	AY.103	USA	North America	Mississippi		Homo sapiens	OK082105	9	21J (Delta)		Moller et al C				
USA/MT-CDC-LC0152783/2021	7/28/21		0.83	202130	Older	AY.103	USA	North America	Montana		Homo sapiens	MZ866471	9	21J (Delta)		Howard et al IF				
USA/OSPHL02166/2021	8/13/21		0.86	202132	Older	AY.103	USA	North America	Oregon		Homo sapiens	MZ950742	8	21J (Delta)		Razzaque et al E				
USA/IN-CDC-STM-EKJDUQWYH/2021	11/9/21		0.83	202145	Older	AY.103	USA	North America	Indiana		Homo sapiens	OL597125	8	21J (Delta)		Howard et al IG		CDC-OAMD	'Helix'	
USA/CA-CDC-FG-151986/2021	10/19/21		0.82	202142	Older	AY.103	USA	North America	California		Homo sapiens	OK628308	8	21J (Delta)		Howard et al IH				
USA/DE-CDC-ASC210477380/2021	10/21/21		0.83	202142	Older	AY.103	USA	North America	Delaware		Homo sapiens	OL478640	8	21J (Delta)		Howard et al II				
USA/RI-CDC-2-5070668/2021	10/5/21		0.89	202140	Older	AY.103	USA	North America	Rhode Island		Homo sapiens	OL336723	9	21J (Delta)		Sheth et al AI				
USA/ID-CDC-LC0332559/2021	10/5/21		0.85	202140	Older	AY.103	USA	North America	Idaho		Homo sapiens	OL324079	8	21J (Delta)		Howard et al IJ				
USA/WV091578/2021	11/30/21		0.85	202148	Older	AY.103	USA	North America	West Virginia		Homo sapiens	OL913389	8	21J (Delta)		Denvir et al G				
USA/WI-CDC-ASC210355692/2021	10/8/21		0.85	202140	Older	AY.103	USA	North America	Wisconsin		Homo sapiens	OL430426	7	21J (Delta)		Howard et al IK				
USA/TX-CDC-ASC210330185/2021	9/20/21		0.79	202138	Older	AY.103	USA	North America	Texas		Homo sapiens	OK566728	5	21J (Delta)		Howard et al IL				
USA/GA-CDC-ASC210336689/2021	10/6/21		0.93	202140	Older	AY.103	USA	North America	Georgia		Homo sapiens	OL387440	7	21J (Delta)		Howard et al IM				
USA/DE-CDC-LC0388298/2021	11/17/21		0.85	202146	Older	AY.103	USA	North America	Delaware		Homo sapiens	OL738059	8	21J (Delta)		Howard et al IN				
USA/CA-CDC-LC0170055/2021	7/23/21		0.83	202129	Older	AY.103	USA	North America	California		Homo sapiens	MZ943217	8	21J (Delta)		Howard et al IO				
USA/AZ-CDC-STM-000735715/2021	9/24/21		0.83	202138	Older	AY.103	USA	North America	Arizona		Homo sapiens	OK529823	9	21J (Delta)		Howard et al IP				
USA/NMDOH-2021156944/2021	8/17/21		0.83	202133	Older	AY.103	USA	North America	New Mexico		Homo sapiens	OK178005	9	21J (Delta)		Johnson et al D		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	
USA/CT-CDC-LC0307890/2021	9/27/21		0.8	202139	Older	AY.103	USA	North America	Connecticut		Homo sapiens	OK520126	7	21J (Delta)		Howard et al IQ				
USA/KS-CDC-ASC210310863/2021	10/5/21		0.79	202140	Older	AY.103	USA	North America	Kansas		Homo sapiens	OL402375	7	21J (Delta)		Howard et al IR				
USA/WV-CDC-ASC210524757/2021	11/6/21		0.83	202144	Older	AY.103	USA	North America	West Virginia		Homo sapiens	OL948914	8	21J (Delta)		Howard et al IS		CDC-OAMD	Aegis Sciences Corporation	
USA/CO-CDC-ASC210459452/2021	11/12/21		0.83	202145	Older	AY.103	USA	North America	Colorado		Homo sapiens	OL733518	8	21J (Delta)		Howard et al IT				
